ordinal,profile,channel,arrival_cycle,tensor_input_output_bytes,measured_compute_cycles,transfer_cycles,service_start_cycle,completion_cycle,queue_cycles,service_cycles
306,qwen_query_key,2,1530000,2293760,9735,35840,1995120,2030960,465120,35840
307,qwen_query_key,3,1535000,2293760,9735,35840,2025960,2061800,490960,35840
308,qwen_query_key,4,1540000,2293760,9735,35840,2030960,2066800,490960,35840
309,qwen_query_key,5,1545000,2293760,9735,35840,2061800,2097640,516800,35840
310,qwen_query_key,6,1550000,2293760,9735,35840,2066800,2102640,516800,35840
311,qwen_query_key,7,1555000,2293760,9735,35840,2097640,2133480,542640,35840
312,qwen_query_key,0,1560000,2293760,9735,35840,2102640,2138480,542640,35840
313,qwen_query_key,1,1565000,2293760,9735,35840,2133480,2169320,568480,35840
314,qwen_query_key,2,1570000,2293760,9735,35840,2138480,2174320,568480,35840
315,qwen_query_key,3,1575000,2293760,9735,35840,2169320,2205160,594320,35840
316,qwen_query_key,4,1580000,2293760,9735,35840,2174320,2210160,594320,35840
317,qwen_query_key,5,1585000,2293760,9735,35840,2205160,2241000,620160,35840
318,qwen_query_key,6,1590000,2293760,9735,35840,2210160,2246000,620160,35840
319,qwen_query_key,7,1595000,2293760,9735,35840,2241000,2276840,646000,35840
320,qwen_query_key,0,1600000,2293760,9735,35840,2246000,2281840,646000,35840
321,qwen_query_key,1,1605000,2293760,9735,35840,2276840,2312680,671840,35840
322,qwen_query_key,2,1610000,2293760,9735,35840,2281840,2317680,671840,35840
323,qwen_query_key,3,1615000,2293760,9735,35840,2312680,2348520,697680,35840
324,qwen_query_key,4,1620000,2293760,9735,35840,2317680,2353520,697680,35840
325,qwen_query_key,5,1625000,2293760,9735,35840,2348520,2384360,723520,35840
326,qwen_query_key,6,1630000,2293760,9735,35840,2353520,2389360,723520,35840
327,qwen_query_key,7,1635000,2293760,9735,35840,2384360,2420200,749360,35840
328,qwen_query_key,0,1640000,2293760,9735,35840,2389360,2425200,749360,35840
329,qwen_query_key,1,1645000,2293760,9735,35840,2420200,2456040,775200,35840
330,qwen_query_key,2,1650000,2293760,9735,35840,2425200,2461040,775200,35840
331,qwen_query_key,3,1655000,2293760,9735,35840,2456040,2491880,801040,35840
332,qwen_query_key,4,1660000,2293760,9735,35840,2461040,2496880,801040,35840
